name,latitude,longitude,category,destination,description,products,priceFromVnd,available,starRating,url,imageUrl,locationSource,locationPrecision,warning,googleMapsUrl,placeKey
Violet hotel 2,12.230724,109.196927,Khách sạn 3★,Nha Trang,"3 hạng phòng · từ 419.000₫/đêm · 51/19/37 Tuệ Tĩnh - Nha Trang, 65000 Nha Trang, Việt Nam",4,419000,true,3,https://www.booking.com/hotel/vn/violet-2.vi.html,https://cf.bstatic.com/xdata/images/hotel/max1024x768/805263140.jpg?k=26b23c2b38b8b3da411f3f62368c169fd561131769c047a9759c21f5fb89a1a0&o=&hp=1,booking.com,exact,,https://www.google.com/maps/search/?api=1&query=12.230724%2C109.196927,hotel:34ef283b-35ec-5042-a601-df8fe9d3cdf7
Violet hotel&spa,12.235678,109.195031,Khách sạn 2★,Nha Trang,"3 hạng phòng · từ 380.000₫/đêm · 12 Biệt Thự, 650000 Nha Trang, Việt Nam",4,380000,true,2,https://www.booking.com/hotel/vn/violet-amp-spa-nha-trang.vi.html,https://cf.bstatic.com/xdata/images/hotel/max1024x768/797172467.jpg?k=640b2f1eabad9d6976f870e27b265d45743c4fd74c60a6d76459ebf4e6f61a39&o=&hp=1,booking.com,exact,,https://www.google.com/maps/search/?api=1&query=12.235678%2C109.195031,hotel:9f555589-e416-58fe-8e76-e93f7cb4a11d
Yellow Sea Hotel Nha Trang,12.218728,109.20365,Khách sạn 3★,Nha Trang,"3 hạng phòng · từ 270.000₫/đêm · 23 Dã Tượng, Nha Trang, Việt Nam",4,270000,true,3,https://www.booking.com/hotel/vn/yellow-sea-nha-trang.vi.html,https://cf.bstatic.com/xdata/images/hotel/max1024x768/656580580.jpg?k=88c3204abfc7f5d60704728074faecf02cc62516d8c2647bfff6740aad758a46&o=&hp=1,booking.com,exact,,https://www.google.com/maps/search/?api=1&query=12.218728%2C109.203650,hotel:33d608ed-1b25-5697-9a16-e532f907578f
Meliá Vinpearl Phu Ly,20.543499,105.916968,Khách sạn 5★,Ninh Bình,"3 hạng phòng · từ 1.224.720₫/đêm · No. 60 Bien Hoa Street, Phu Ly Ward, Ninh Binh Province, Phủ Lý, Việt Nam",4,1224720,true,5,https://www.booking.com/hotel/vn/melia-vinpearl-phu-ly.vi.html,https://cf.bstatic.com/xdata/images/hotel/max1024x768/844705542.jpg?k=7a3015833b668b85c421171b95a53c968fed5fa898f499dfc4686a5738627358&o=&hp=1,booking.com,exact,cách tâm Ninh Bình 32 km,https://www.google.com/maps/search/?api=1&query=20.543499%2C105.916968,hotel:21564f39-a27d-5f7a-a447-5646af207682
Allezboo Beach Resort and Spa,10.936181,108.187512,Khách sạn 4★,Phan Thiết,"khách sạn · từ 1.250.000₫/đêm · 8 Nguyễn Đình Chiểu, Hàm Tiến, Mũi Né, Phan Thiết",1,1250000,true,4,https://www.agoda.com/vi-vn/allezboo-beach-resort-and-spa/hotel/phan-thiet-vn.html,https://pix6.agoda.net/hotelImages/108511/0/8e8ee7f5d6c4d0bf829a2baa023688ee.jpg?va=1&ce=2&s=1024x768,agoda.com,exact,,https://www.google.com/maps/search/?api=1&query=10.936181%2C108.187512,hotel:671e4c0a-eb0c-5684-b2b2-02c319356227
Anantara Mui Ne Resort,10.941292,108.191849,Khách sạn 5★,Phan Thiết,"khách sạn · từ 3.428.708₫/đêm · 12A Nguyễn Đình Chiểu, Mũi Né, Phan Thiết",1,3428708,true,5,https://www.agoda.com/vi-vn/anantara-mui-ne-resort/hotel/phan-thiet-vn.html,https://pix6.agoda.net/hotelImages/108278/-1/d1d6be58088b5dcd08a86a9d5b920d22.jpg?va=1&ce=0&s=1024x768,agoda.com,exact,,https://www.google.com/maps/search/?api=1&query=10.941292%2C108.191849,hotel:de0acf1e-9c03-501f-a333-c148dfb631e4
Anket De' River Mui Ne resort,10.950573,108.257256,Khách sạn,Phan Thiết,"3 hạng phòng · từ 2.166.977₫/đêm · 50 Huỳnh Thúc Kháng 2, 77118 Mũi Né, Việt Nam",4,2166977,true,,https://www.booking.com/hotel/vn/anket-de-river-mui-ne-resort.vi.html,https://cf.bstatic.com/xdata/images/hotel/max1024x768/816528630.jpg?k=db5f43430a0ff4abbe9c5d750c8bd89316add61434ad7a19b7d8822dd4105088&o=&hp=1,booking.com,exact,,https://www.google.com/maps/search/?api=1&query=10.950573%2C108.257256,hotel:c2dc6824-a5f4-55c0-99a2-c37c014babf0
Apec Mandala Mũi Né - Căn hộ khách sạn nghỉ dưỡng (Apec Mandala Mui Ne - Resort Hotel Apartment),11.002721,108.346512,Khách sạn 5★,Phan Thiết,"khách sạn · từ 585.903₫/đêm · Đường DT 716, Mũi Né, Thành Phố Phan Thiết, Tỉnh Bình Thuận, Mũi Né, Phan Thiết",1,585903,true,5,https://www.agoda.com/vi-vn/apec-mandala-mui-ne-can-h-khach-s-n-nghi-du-ng/hotel/phan-thiet-vn.html,https://pix6.agoda.net/hotelImages/46727693/-1/7c8075da2d5e44f72066b37a90fcfd6d.jpg?va=1&ce=0&s=1024x768,agoda.com,exact,,https://www.google.com/maps/search/?api=1&query=11.002721%2C108.346512,hotel:58d35225-1855-5adb-b59e-cabc327888a3
Centara Mirage Resort Mui Ne,10.947158,108.268835,Khách sạn 5★,Phan Thiết,"3 hạng phòng · từ 2.639.272₫/đêm · Huynh Thuc Khang street, Mui Ne, 801098 Mũi Né, Việt Nam",4,2639272,true,5,https://www.booking.com/hotel/vn/centara-mirage-resort-mui-ne.vi.html,https://cf.bstatic.com/xdata/images/hotel/max1024x768/532042638.jpg?k=fa19eab51825a0a537fe08398160fd94386d42c391d491826cf639ab4061592c&o=&hp=1,booking.com,exact,,https://www.google.com/maps/search/?api=1&query=10.947158%2C108.268835,hotel:e09314fa-f726-5a85-a24c-0a0aad80f5c2
"Chăm Charm Mũi Né, Phan Thiết",10.954189,108.218769,Khách sạn 4★,Phan Thiết,"3 hạng phòng · từ 700.000₫/đêm · 157 Nguyễn Đình Chiểu, 77000 Mũi Né, Việt Nam",4,700000,true,4,https://www.booking.com/hotel/vn/cham-charm-mui-ne-phan-thiet.vi.html,https://cf.bstatic.com/xdata/images/hotel/max1024x768/759402133.jpg?k=e4daa8552920589b6a89b0a7397631021094e4cc9b996c8a71a8593aeecf3fcd&o=&hp=1,booking.com,exact,,https://www.google.com/maps/search/?api=1&query=10.954189%2C108.218769,hotel:015c7da7-1700-5555-9a9c-88dcee52a82c
EVA HUT Mui Ne Beach Hostel,10.953302,108.243034,Khách sạn,Phan Thiết,"3 hạng phòng · từ 110.000₫/đêm · Alley 202 Nguyen Dinh Chieu, Ham Tien, Mũi Né, Việt Nam",4,110000,true,,https://www.booking.com/hotel/vn/eva-hut-mui-ne-beach-hostel.vi.html,https://cf.bstatic.com/xdata/images/hotel/max1024x768/648142752.jpg?k=f488a2a8c7b4f23d10779d32f28a604fe7cd356a47ba3f4e8dfde8d97197e860&o=&hp=1,booking.com,exact,,https://www.google.com/maps/search/?api=1&query=10.953302%2C108.243034,hotel:c04437d9-621a-58d5-8738-885f0518e65f
Gia An Hung Guest House,10.9546,108.244854,Khách sạn 4★,Phan Thiết,"3 hạng phòng · từ 540.000₫/đêm · 335A Nguyen Dinh Chieu, Ham Tien, Mui Ne, Mũi Né, Việt Nam",4,540000,true,4,https://www.booking.com/hotel/vn/gia-an-hung-guest-house.vi.html,https://cf.bstatic.com/xdata/images/hotel/max1024x768/416707540.jpg?k=142a393fa2ed4d2dd603fc9121c57c0841a03cb1c2344aac590290d5f75ca321&o=&hp=1,booking.com,exact,,https://www.google.com/maps/search/?api=1&query=10.954600%2C108.244854,hotel:326afead-504e-5cfd-8ab9-4f19411cc2b8
Grace Boutique Resort,10.954928,108.235573,Khách sạn 4★,Phan Thiết,"3 hạng phòng · từ 1.070.460₫/đêm · 144A Nguyen Dinh Chieu, Mũi Né, Việt Nam",4,1070460,true,4,https://www.booking.com/hotel/vn/grace-boutique-resort.vi.html,https://cf.bstatic.com/xdata/images/hotel/max1024x768/776072423.jpg?k=f29874f9a01c7173b94f35562cd760b0bdf8508adb32cfe2c0c5da3cfd3d554f&o=&hp=1,booking.com,exact,,https://www.google.com/maps/search/?api=1&query=10.954928%2C108.235573,hotel:b7814340-74b9-5dfb-88db-9cb8a488e6ca
Hon Rom Central Beach Resort,10.961084,108.320104,Khách sạn 3★,Phan Thiết,"3 hạng phòng · từ 989.928₫/đêm · 18 Đ. Xuân Thủy, Mũi Né, Lâm Đồng, Vietnam, Mũi Né, Việt Nam",4,989928,true,3,https://www.booking.com/hotel/vn/hon-rom-1-resort.vi.html,https://cf.bstatic.com/xdata/images/hotel/max1024x768/786055776.jpg?k=bcb3c8c8e903bc3e432835ff7069d88b24e6d7e0be6fbaa63050bf68edecf3d4&o=&hp=1,booking.com,exact,,https://www.google.com/maps/search/?api=1&query=10.961084%2C108.320104,hotel:e0a53a1c-2994-5912-99bf-66e861e05174
