issues,name,taxonomy,level,destination,sourceRef,url,descriptionLang,unitPrice,latitude,longitude
không có ảnh: dùng logo hãng bay,Vé máy bay Hà Nội - Phú Quốc,flight,route,Phú Quốc,trip:route:han-pqc,https://vn.trip.com/flights/hanoi-to-phu-quoc-island/airfares-han-pqc/,vi,612000,10.169783,103.99353
không có ảnh: dùng logo hãng bay,Vé máy bay Hà Nội - Huế,flight,route,Huế,trip:route:han-hui,https://vn.trip.com/flights/hanoi-to-hue/airfares-han-hui/,vi,678000,16.400581,107.704094
không có ảnh: dùng logo hãng bay,Vé máy bay Hà Nội - Nghệ An,flight,route,Nghệ An,trip:route:han-vii,https://vn.trip.com/flights/hanoi-to-vinh-city/airfares-han-vii/,vi,980000,18.7376003265,105.67099762
không có ảnh: dùng logo hãng bay,Vé máy bay Hà Nội - Quy Nhơn,flight,route,Quy Nhơn,trip:route:han-uih,https://vn.trip.com/flights/hanoi-to-quy-nhon/airfares-han-uih/,vi,1007000,13.955,109.042
không có ảnh: dùng logo hãng bay,Vé máy bay Hà Nội - Đà Lạt,flight,route,Đà Lạt,trip:route:han-dli,https://vn.trip.com/flights/hanoi-to-dalat/airfares-han-dli/,vi,810000,11.750556,108.366997
không có ảnh: dùng logo hãng bay,Vé máy bay TP. Hồ Chí Minh - Hà Nội,flight,route,Hà Nội,trip:route:sgn-han,https://vn.trip.com/flights/ho-chi-minh-city-to-hanoi/airfares-sgn-han/,vi,624000,21.221201,105.806999
không có ảnh: dùng logo hãng bay,Vé máy bay TP. Hồ Chí Minh - Đà Nẵng,flight,route,Đà Nẵng,trip:route:sgn-dad,https://vn.trip.com/flights/ho-chi-minh-city-to-da-nang/airfares-sgn-dad/,vi,399000,16.0439,108.198997
không có ảnh: dùng logo hãng bay,Vé máy bay TP. Hồ Chí Minh - Phú Quốc,flight,route,Phú Quốc,trip:route:sgn-pqc,https://vn.trip.com/flights/ho-chi-minh-city-to-phu-quoc-island/airfares-sgn-pqc/,vi,376000,10.169783,103.99353
không có ảnh: dùng logo hãng bay,Vé máy bay TP. Hồ Chí Minh - Nha Trang,flight,route,Nha Trang,trip:route:sgn-nha,https://vn.trip.com/flights/ho-chi-minh-city-to-nha-trang/airfares-sgn-nha/,vi,643000,11.9982,109.219002
không có ảnh: dùng logo hãng bay,Vé máy bay TP. Hồ Chí Minh - Hải Phòng,flight,route,Hải Phòng,trip:route:sgn-hph,https://vn.trip.com/flights/ho-chi-minh-city-to-haiphong/airfares-sgn-hph/,vi,798000,20.817428,106.724315
không có ảnh: dùng logo hãng bay,Vé máy bay TP. Hồ Chí Minh - Nghệ An,flight,route,Nghệ An,trip:route:sgn-vii,https://vn.trip.com/flights/ho-chi-minh-city-to-vinh-city/airfares-sgn-vii/,vi,903000,18.7376003265,105.67099762
không có ảnh: dùng logo hãng bay,Vé máy bay TP. Hồ Chí Minh - Huế,flight,route,Huế,trip:route:sgn-hui,https://vn.trip.com/flights/ho-chi-minh-city-to-hue/airfares-sgn-hui/,vi,643000,16.400581,107.704094
không có ảnh: dùng logo hãng bay,Vé máy bay TP. Hồ Chí Minh - Quy Nhơn,flight,route,Quy Nhơn,trip:route:sgn-uih,https://vn.trip.com/flights/ho-chi-minh-city-to-quy-nhon/airfares-sgn-uih/,vi,678000,13.955,109.042
không có ảnh: dùng logo hãng bay,Vé máy bay Hải Phòng - TP. Hồ Chí Minh,flight,route,TP. Hồ Chí Minh,trip:route:hph-sgn,https://vn.trip.com/flights/haiphong-to-ho-chi-minh-city/airfares-hph-sgn/,vi,601000,10.8188,106.652
không có ảnh: dùng logo hãng bay,Vé máy bay Hải Phòng - Đà Nẵng,flight,route,Đà Nẵng,trip:route:hph-dad,https://vn.trip.com/flights/haiphong-to-da-nang/airfares-hph-dad/,vi,701000,16.0439,108.198997
không có ảnh: dùng logo hãng bay,Vé máy bay Hải Phòng - Nha Trang,flight,route,Nha Trang,trip:route:hph-nha,https://vn.trip.com/flights/haiphong-to-nha-trang/airfares-hph-nha/,vi,817000,11.9982,109.219002
không có ảnh: dùng logo hãng bay,Vé máy bay Hải Phòng - Phú Quốc,flight,route,Phú Quốc,trip:route:hph-pqc,https://vn.trip.com/flights/haiphong-to-phu-quoc-island/airfares-hph-pqc/,vi,446000,10.169783,103.99353
