issue,sourceRef,productId,name,taxonomy,destination,unitPrice,available
non_vi_or_undetected,vinpearl:tour:VW02694,e916cefa-b08b-5569-875f-226d6f4a8319,"[Công Viên Nước Hà Tĩnh] - Combo Công viên nước + Túi Vải + Dầu gội, dầu xả",combo,Hà Tĩnh,110000,True
no_positive_price,vinpearl:tour:VW02687,6fa9992a-21ee-542f-88d7-39f7b2473aec,[MUA 1 TẶNG 1] - Vé Công viên nước Hà Tĩnh (Trẻ Em),attraction,Hà Tĩnh,0,True
zero_price_available,vinpearl:tour:VW02687,6fa9992a-21ee-542f-88d7-39f7b2473aec,[MUA 1 TẶNG 1] - Vé Công viên nước Hà Tĩnh (Trẻ Em),attraction,Hà Tĩnh,0,True
detail_fallback,vinpearl:tour:VW02687,6fa9992a-21ee-542f-88d7-39f7b2473aec,[MUA 1 TẶNG 1] - Vé Công viên nước Hà Tĩnh (Trẻ Em),attraction,Hà Tĩnh,0,True
description_under_80,vinpearl:tour:VW02687,6fa9992a-21ee-542f-88d7-39f7b2473aec,[MUA 1 TẶNG 1] - Vé Công viên nước Hà Tĩnh (Trẻ Em),attraction,Hà Tĩnh,0,True
no_positive_price,vinpearl:tour:VW02683,209be655-b122-50d6-89b4-e91ef5507e67,[MUA 1 TẶNG 1] - Vé Công viên nước Hà Tĩnh (Người Lớn),attraction,Hà Tĩnh,0,True
zero_price_available,vinpearl:tour:VW02683,209be655-b122-50d6-89b4-e91ef5507e67,[MUA 1 TẶNG 1] - Vé Công viên nước Hà Tĩnh (Người Lớn),attraction,Hà Tĩnh,0,True
detail_fallback,vinpearl:tour:VW02683,209be655-b122-50d6-89b4-e91ef5507e67,[MUA 1 TẶNG 1] - Vé Công viên nước Hà Tĩnh (Người Lớn),attraction,Hà Tĩnh,0,True
description_under_80,vinpearl:tour:VW02683,209be655-b122-50d6-89b4-e91ef5507e67,[MUA 1 TẶNG 1] - Vé Công viên nước Hà Tĩnh (Người Lớn),attraction,Hà Tĩnh,0,True
non_vi_or_undetected,vinpearl:tour:VW02659,a556a3a0-996e-507d-a310-cb57ca1fec63,[Người địa phương] - Combo Cáp Treo + Games trên Đảo - Cửa Hội,combo,Nghệ An,220000,True
non_vi_or_undetected,vinpearl:tour:VW02658,eb83c3a2-c892-5cb4-a667-f67b93f343ef,[Người địa phương] - Cáp Treo 2 Chiều - Cửa Hội,attraction,Nghệ An,140000,True
no_positive_price,vinpearl:tour:VW02475,df4470f5-43ab-52c4-a76b-9e05da7a838f,[Công Viên Grand Park] [Ưu đãi Gia đình] Combo Công Viên Nước + Games Khu Vườn Mộng Mơ,combo,TP. Hồ Chí Minh,0,True
zero_price_available,vinpearl:tour:VW02475,df4470f5-43ab-52c4-a76b-9e05da7a838f,[Công Viên Grand Park] [Ưu đãi Gia đình] Combo Công Viên Nước + Games Khu Vườn Mộng Mơ,combo,TP. Hồ Chí Minh,0,True
detail_fallback,vinpearl:tour:VW02475,df4470f5-43ab-52c4-a76b-9e05da7a838f,[Công Viên Grand Park] [Ưu đãi Gia đình] Combo Công Viên Nước + Games Khu Vườn Mộng Mơ,combo,TP. Hồ Chí Minh,0,True
no_positive_price,vinpearl:tour:VW02447,492fc56a-4b33-5941-b714-9b21012321ca,[Ưu Đãi Người Đà Nẵng] [Mua 2 Tặng 1] Vé vào cửa tiêu chuẩn & Buggy & Voucher Ẩm thực 300.000 VNĐ,attraction,Đà Nẵng,0,True
zero_price_available,vinpearl:tour:VW02447,492fc56a-4b33-5941-b714-9b21012321ca,[Ưu Đãi Người Đà Nẵng] [Mua 2 Tặng 1] Vé vào cửa tiêu chuẩn & Buggy & Voucher Ẩm thực 300.000 VNĐ,attraction,Đà Nẵng,0,True
detail_fallback,vinpearl:tour:VW02447,492fc56a-4b33-5941-b714-9b21012321ca,[Ưu Đãi Người Đà Nẵng] [Mua 2 Tặng 1] Vé vào cửa tiêu chuẩn & Buggy & Voucher Ẩm thực 300.000 VNĐ,attraction,Đà Nẵng,0,True
no_positive_price,vinpearl:tour:VW02446,3fe95956-563a-5a42-9969-1e956b5503c9,[Ưu Đãi Người Đà Nẵng] [Mua 2 Tặng 1] Vé vào cửa tiêu chuẩn & Voucher Ẩm thực 300.000 VNĐ,attraction,Đà Nẵng,0,True
zero_price_available,vinpearl:tour:VW02446,3fe95956-563a-5a42-9969-1e956b5503c9,[Ưu Đãi Người Đà Nẵng] [Mua 2 Tặng 1] Vé vào cửa tiêu chuẩn & Voucher Ẩm thực 300.000 VNĐ,attraction,Đà Nẵng,0,True
detail_fallback,vinpearl:tour:VW02446,3fe95956-563a-5a42-9969-1e956b5503c9,[Ưu Đãi Người Đà Nẵng] [Mua 2 Tặng 1] Vé vào cửa tiêu chuẩn & Voucher Ẩm thực 300.000 VNĐ,attraction,Đà Nẵng,0,True
no_positive_price,vinpearl:tour:VW02445,49600cea-4581-5f2c-9c34-7c33d8216f3e,[Ưu Đãi Người Đà Nẵng] [Mua 2 Tặng 1] Vé vào cửa tiêu chuẩn VinWonders Nam Hội An,attraction,Hội An,0,True
zero_price_available,vinpearl:tour:VW02445,49600cea-4581-5f2c-9c34-7c33d8216f3e,[Ưu Đãi Người Đà Nẵng] [Mua 2 Tặng 1] Vé vào cửa tiêu chuẩn VinWonders Nam Hội An,attraction,Hội An,0,True
detail_fallback,vinpearl:tour:VW02445,49600cea-4581-5f2c-9c34-7c33d8216f3e,[Ưu Đãi Người Đà Nẵng] [Mua 2 Tặng 1] Vé vào cửa tiêu chuẩn VinWonders Nam Hội An,attraction,Hội An,0,True
non_vi_or_undetected,vinpearl:tour:VW02409,c030892f-e7da-5c3d-be21-b1e218acb577,[VinWonders Cửa Hội] - Tiệc tối BBQ bên biển Cửa Lò (350k),attraction,Nghệ An,350000,True
no_positive_price,vinpearl:tour:VW02310,912a02c5-2f58-5b69-9f60-06b1ccf5e7c6,[04 Người Lớn] - Combo Vườn Thú + Khu Trò Chơi Vũ Yên + Tặng 01 Túi Tote,combo,Hải Phòng,0,True
zero_price_available,vinpearl:tour:VW02310,912a02c5-2f58-5b69-9f60-06b1ccf5e7c6,[04 Người Lớn] - Combo Vườn Thú + Khu Trò Chơi Vũ Yên + Tặng 01 Túi Tote,combo,Hải Phòng,0,True
detail_fallback,vinpearl:tour:VW02310,912a02c5-2f58-5b69-9f60-06b1ccf5e7c6,[04 Người Lớn] - Combo Vườn Thú + Khu Trò Chơi Vũ Yên + Tặng 01 Túi Tote,combo,Hải Phòng,0,True
no_positive_price,vinpearl:tour:VW02309,eb2974d0-7ad8-544d-bb8c-695b75f82747,[VinWonders Vũ Yên] - [02 Người Lớn + 02 Trẻ Em] - Combo Vườn Thú + Khu Trò Chơi + Tặng 01 Túi Tote,combo,Hải Phòng,0,True
zero_price_available,vinpearl:tour:VW02309,eb2974d0-7ad8-544d-bb8c-695b75f82747,[VinWonders Vũ Yên] - [02 Người Lớn + 02 Trẻ Em] - Combo Vườn Thú + Khu Trò Chơi + Tặng 01 Túi Tote,combo,Hải Phòng,0,True
detail_fallback,vinpearl:tour:VW02309,eb2974d0-7ad8-544d-bb8c-695b75f82747,[VinWonders Vũ Yên] - [02 Người Lớn + 02 Trẻ Em] - Combo Vườn Thú + Khu Trò Chơi + Tặng 01 Túi Tote,combo,Hải Phòng,0,True
no_positive_price,vinpearl:tour:VW02308,0c98ee85-b8c0-5616-833b-414a2bd7b49f,[02 Người Lớn + 01 Trẻ Em] - Combo Vườn Thú + Khu Trò Chơi Vũ Yên + Tặng 01 Túi Tote,combo,Hải Phòng,0,True
